full_date_time,config_name,latitude,longitude,elevation,anno,mese,day,hour,prod,peakpower
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,10,89.59442,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,11,92.94192,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,12,89.23327,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,13,76.74753999999999,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,14,56.525760000000005,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,15,26.71841,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,16,0.0,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,17,0.0,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,18,0.0,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,19,0.0,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,20,0.0,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,21,0.0,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,22,0.0,136.8
2022-01-05,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,05,23,0.0,136.8
2022-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,06,00,0.0,136.8
2022-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,06,01,0.0,136.8
2022-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,06,02,0.0,136.8
2022-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,06,03,0.0,136.8
2022-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,06,04,0.0,136.8
2022-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,06,05,0.0,136.8
2022-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,06,06,0.0,136.8
2022-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,06,07,17.630779999999998,136.8
2022-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,06,08,58.03466,136.8
2022-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,06,09,80.30981,136.8
2022-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,06,10,92.05409,136.8
2022-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,06,11,96.12252000000001,136.8
2022-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,06,12,90.25106,136.8
2022-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,06,13,77.63674,136.8
2022-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,06,14,57.0757,136.8
2022-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,06,15,26.51321,136.8
2022-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,06,16,0.0,136.8
2022-01-06,Modulo VE472PV ppw 136,43.18198,12.44500,222.0,2022,gen,06,17,0.0,136.8
